Around[0.757918968762322, 0.3199284568183878]
Around[0.6194456346676307, 0.08346059932887742]
Around[0.8439019387070885, 0.47549235938439693]
Around[0.7622031721701619, 0.24559923328069874]
Around[0.6908363268941747, 0.13508579666878218]
Around[0.833223181844266, 0.3392107850863008]
Around[0.7865960042666651, 0.2363376451268204]
Around[0.7414383353360428, 0.16700994606190123]
Around[0.833763300206388, 0.2823273014480353]
Around[0.8024857143463459, 0.2221734822177226]
Around[0.8571168076926224, 0.29496073155924396]
Around[0.8348604158249908, 0.24612327497366174]
Around[0.869893506458276, 0.2942710406975158]
Around[0.8532798873869215, 0.25471724957717556]
Around[0.8355495298937053, 0.22045518495569022]
Around[0.864676958112818, 0.2561410641101589]
Around[0.8506085401410168, 0.22696025850985585]
Around[0.8358770657802455, 0.201204487459322]
Around[0.8208033316757758, 0.17866986052830533]
Around[0.8055939667756504, 0.1589801290262001]
Around[0.7904131203887603, 0.14176840105037186]
Around[0.7754024663418683, 0.12671092071326837]
Around[0.8102311920660485, 0.15205646361124864]
Around[0.7972767632643457, 0.13773314759049443]
Around[0.8249098640507597, 0.15925149697420843]
Around[0.813619547000756, 0.14577423014006408]
Around[0.8361574677101911, 0.16422804457840112]
Around[0.8262176672917848, 0.15162225323098424]
Around[0.8162088648991244, 0.1401176934322342]
Around[0.8061832879511294, 0.1296215440642545]
Around[0.7961811232897272, 0.12003073974427345]
Around[0.7862332010626705, 0.1112578555534136]
Around[0.7763630371211694, 0.10321954426298245]
Around[0.7665884019825608, 0.09584038659578875]
Around[0.7569225356044027, 0.08905279350008964]
Around[0.7473721440550483, 0.08279465268482296]
Around[0.7379491095892183, 0.07701583539406968]
Around[0.7648014332136158, 0.0895514705933496]
Around[0.7561436686453823, 0.08382706590047849]
Around[0.7475844707705709, 0.07850754837088854]
Around[0.7391286853088062, 0.07355609653872933]
Around[0.7307776023914179, 0.06893853528905128]
Around[0.7225369149956268, 0.06462719373532935]
Around[0.7477309053056398, 0.07482428760237093]
Around[0.7400597330011628, 0.07052155598568544]
Around[0.7324779379904558, 0.06648306428285583]
Around[0.7249872755474763, 0.06268973600867804]
Around[0.7175872332456299, 0.059121286774372665]
Around[0.7102807345195251, 0.05576119176606816]
Around[0.7030666815471511, 0.052592815699418115]
Around[0.6959446150274048, 0.04960151087244649]
Around[0.6889137968850152, 0.046773966199135625]
Around[0.6819732030110046, 0.044098053680598014]
Around[0.6751216040133431, 0.04154801000528952]
Around[0.6683575926285604, 0.0391577635884559]
Around[0.6616796248995471, 0.03687402785117128]
Around[0.6550860480004026, 0.03470300293944728]
Around[0.6485751276127208, 0.03263690769115727]
Around[0.6421450087541666, 0.030668576227056252]
Around[0.635769707819557, 0.028784123188096457]
Around[0.629520235330202, 0.02699956573204677]
Around[0.6565661275628999, 0.033572767755330774]
Around[0.6803733103307401, 0.039825638800486146]
Around[0.674631591050494, 0.037880743036235294]
Around[0.6960062265823528, 0.0437620478084986]
Around[0.7151701438266311, 0.04942117596926664]
Around[0.7098733066257815, 0.04734696936212661]
Around[0.7046278733499137, 0.04536048656307339]
Around[0.7222629493347834, 0.0506213552205428]
Around[0.717237940838837, 0.048624243033799135]
Around[0.7122583578748274, 0.04670811945393622]
Around[0.7073242031615251, 0.044868627034844115]
Around[0.7024353891310448, 0.04310168838764375]
Around[0.6975917491254817, 0.04140348608553369]
Around[0.6927930472946275, 0.03977044398824692]
Around[0.7097045623885782, 0.04435749243936606]
Around[0.7251647197061487, 0.04880127822321252]
Around[0.720681013615754, 0.04708467199063465]
Around[0.7349912351746156, 0.05132568609186276]
Around[0.730671975623645, 0.049606135706554186]
Around[0.7263848758608549, 0.04794779095081975]
Around[0.7221301243161193, 0.04634780637641307]
Around[0.7179078444771857, 0.044803462503078956]
Around[0.7137181016595486, 0.04331219801836727]
Around[0.7095609084542689, 0.04187159215818352]
Around[0.7054362333747065, 0.04047935722691969]
Around[0.7013439996304754, 0.03913332853436023]
Around[0.6972840954864594, 0.03783145872627236]
Around[0.7114662315956427, 0.041436113635853075]
Around[0.7075357657064204, 0.0401261659805772]
Around[0.7036346894392472, 0.03885781577242443]
Around[0.6997629229852464, 0.03762930100723186]
Around[0.7131923488549757, 0.04099722340474901]
Around[0.7094385636221604, 0.03976183472327767]
Around[0.7057115176196549, 0.03856405004345883]
Around[0.7020111553461985, 0.03740234377263486]
Around[0.6983373963460435, 0.03627526498052074]
Around[0.7111711862679593, 0.039390828323231306]
Around[0.7076032641828357, 0.03825736495118572]
Around[0.7196664798923543, 0.04126030488673598]
Around[0.7161998352640054, 0.040122282753885276]
Around[0.7127555859254879, 0.03901655680708174]
Around[0.7093337294984676, 0.037941909221906996]
Around[0.7059342426663343, 0.03689717737083753]
Around[0.7175179712266541, 0.03969073075877585]
Around[0.7283916573627144, 0.04242233643357636]
Around[0.7251528489486286, 0.04134130620293365]
Around[0.7219329349557335, 0.040289252030367095]
Around[0.7187319921192541, 0.03926515442536137]
Around[0.715550049307957, 0.03826802898847531]
Around[0.7123871178363141, 0.03729693281852714]
Around[0.7092431928963258, 0.03635096258056034]
Around[0.7061182548797934, 0.035429252681324956]
Around[0.7030122705998328, 0.03453097348474874]
Around[0.6999251944196471, 0.033655329649493096]
Around[0.7107079078083943, 0.03606882727742169]
Around[0.707698425644065, 0.03518983589128733]
Around[0.7179367422466427, 0.037530522177884225]
Around[0.7149962816144839, 0.036647458939795645]
Around[0.7120721591705635, 0.03578573673392934]
